name,stars,age,releases,language,zip_url,clone_url
AndroidAll,1523,6,0,Java,https://codeload.github.com/chiclaim/AndroidAll/legacy.zip/a05fbd0d4afc6e6318a7a4e85cc43780d2b36729,https://github.com/chiclaim/AndroidAll
AndroidDynamicLoader,1456,11,0,Java,https://codeload.github.com/mmin18/AndroidDynamicLoader/legacy.zip/a66e619eb8c0a26a83b6762935b80ba8e63beccf,https://github.com/mmin18/AndroidDynamicLoader
richeditor-android,6093,8,0,Java,https://codeload.github.com/wasabeef/richeditor-android/legacy.zip/ce152b910a59c66863baa68b007ac67e6b9de671,https://github.com/wasabeef/richeditor-android
AndroidCustomView,1803,6,0,Java,https://codeload.github.com/lygttpod/AndroidCustomView/legacy.zip/bbcd54bb54523f335e13318534356dc7b8f58997,https://github.com/lygttpod/AndroidCustomView
android-gif-drawable,9426,10,60,Java,https://codeload.github.com/koral--/android-gif-drawable/legacy.zip/9080ef9dd83a69d024e692f7fdf6647a99506bb2,https://github.com/koral--/android-gif-drawable
androrat,1785,9,0,Java,https://codeload.github.com/wszf/androrat/legacy.zip/e831ccbc6740dd2b9329f65ef25496803773f65f,https://github.com/wszf/androrat
AndroidTraining,1328,10,0,Java,https://codeload.github.com/mixi-inc/AndroidTraining/legacy.zip/b10a35143295d0e4b2248502f46d659631680c71,https://github.com/mixi-inc/AndroidTraining
androrat,1338,10,0,Java,https://codeload.github.com/DesignativeDave/androrat/legacy.zip/df30f108bb53a76d55ee4cee33877aef798c9549,https://github.com/DesignativeDave/androrat
OsmAnd,3908,12,1,Java,https://codeload.github.com/osmandapp/OsmAnd/legacy.zip/ef835c6ebd5449af6d9df707a0b06b6256fc4bcd,https://github.com/osmandapp/OsmAnd
AndroidPushNotificationsDemo,1049,13,0,Java,https://codeload.github.com/tokudu/AndroidPushNotificationsDemo/legacy.zip/ea18b09073a5fed9aaf22b0733a83286464fe636,https://github.com/tokudu/AndroidPushNotificationsDemo
AndroidCharts,1318,9,1,Java,https://codeload.github.com/HackPlan/AndroidCharts/legacy.zip/ad432fc16c592f43172382e9da1589780005ef91,https://github.com/HackPlan/AndroidCharts
AndroidGodEye,2547,5,10,Java,https://codeload.github.com/Kyson/AndroidGodEye/legacy.zip/459f5cb5a2a4d176ff63f27322644a8191df2af9,https://github.com/Kyson/AndroidGodEye
AndroidSweetSheet,2067,8,1,Java,https://codeload.github.com/zzz40500/AndroidSweetSheet/legacy.zip/221317862bda3fe14c9ada4ff4249496d35f6752,https://github.com/zzz40500/AndroidSweetSheet
android-classyshark,7372,7,17,Java,https://codeload.github.com/google/android-classyshark/legacy.zip/78ddba71b0d869cc6283f8cdbb2061b6e57a3781,https://github.com/google/android-classyshark
android-Ultra-Pull-To-Refresh,9607,8,8,Java,https://codeload.github.com/liaohuqiu/android-Ultra-Pull-To-Refresh/legacy.zip/46fdc861243a3d90dca1f5d31f3c82559ee9e4fa,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh
android-crop,4545,9,6,Java,https://codeload.github.com/jdamcd/android-crop/legacy.zip/f4b2d25a0508f45b1b961064a9b3e4a8ae30227c,https://github.com/jdamcd/android-crop
ActiveAndroid,4710,10,0,Java,https://codeload.github.com/pardom-zz/ActiveAndroid/legacy.zip/08c6335cd7324c6e72da536b0c6fffa5a798f6a2,https://github.com/pardom-zz/ActiveAndroid
AndroidEventBus,1591,8,0,Java,https://codeload.github.com/hehonghui/AndroidEventBus/legacy.zip/a7650b84d64e366dcc6c056cd09a794078f27896,https://github.com/hehonghui/AndroidEventBus
android-flip,2844,11,0,Java,https://codeload.github.com/openaphid/android-flip/legacy.zip/fbfbdbe101987525a4959e09e2fa914c5ced5398,https://github.com/openaphid/android-flip
AndroidChangeSkin,1720,7,0,Java,https://codeload.github.com/hongyangAndroid/AndroidChangeSkin/legacy.zip/002a464df30d3da95bb2ce147b500c50d6ca4487,https://github.com/hongyangAndroid/AndroidChangeSkin
FirebaseUI-Android,4540,8,65,Java,https://codeload.github.com/firebase/FirebaseUI-Android/legacy.zip/5b6c9f01f5a674d754d8e9b1242197fe040086e7,https://github.com/firebase/FirebaseUI-Android
android-common,3637,9,0,Java,https://codeload.github.com/litesuits/android-common/legacy.zip/4aa89fdf605c7f9d1f5a50f97212f1d4756450ad,https://github.com/litesuits/android-common
AndroidAudioRecorder,1594,7,12,Java,https://codeload.github.com/adrielcafe/AndroidAudioRecorder/legacy.zip/242f73b160cd60c85c5320c13ec7dcf488892178,https://github.com/adrielcafe/AndroidAudioRecorder
AndroidDaemonService,1618,7,0,Java,https://codeload.github.com/D-clock/AndroidDaemonService/legacy.zip/7148e3ccdf796ec00c2d6480da97c7df205981e5,https://github.com/D-clock/AndroidDaemonService
RxJava-Android-Samples,7557,9,0,Java,https://codeload.github.com/kaushikgopal/RxJava-Android-Samples/legacy.zip/b84865252c203498c1f0a2fa0f751f3c9127a781,https://github.com/kaushikgopal/RxJava-Android-Samples
android-advancedrecyclerview,5276,8,1,Java,https://codeload.github.com/h6ah4i/android-advancedrecyclerview/legacy.zip/5213b003748cc2010d73d8c6c3193deb2bbf023e,https://github.com/h6ah4i/android-advancedrecyclerview
AndroidAnimationExercise,1757,7,0,Java,https://codeload.github.com/REBOOTERS/AndroidAnimationExercise/legacy.zip/50d12e4040f241ec80b864b3cdbcc011ceff5eb5,https://github.com/REBOOTERS/AndroidAnimationExercise
AndroidUtils,1277,6,0,Java,https://codeload.github.com/Blizzard-liu/AndroidUtils/legacy.zip/65dbd4b5eaff9e1dcc0e94f2f619cfa7a8b6a55f,https://github.com/Blizzard-liu/AndroidUtils
Android-SpinKit,8486,7,0,Java,https://codeload.github.com/ybq/Android-SpinKit/legacy.zip/aa83e4d0a42c76eae15e8b18b79aa2a231cca5f8,https://github.com/ybq/Android-SpinKit
android-floating-action-button,6376,9,0,Java,https://codeload.github.com/zendesk/android-floating-action-button/legacy.zip/639063555c5416e0d38980f38a34130494a30fc5,https://github.com/zendesk/android-floating-action-button
AndroidModulePattern,1429,6,2,Java,https://codeload.github.com/guiying712/AndroidModulePattern/legacy.zip/494e7deda04ea1a9dc0bad006ca218c635a8957f,https://github.com/guiying712/AndroidModulePattern
android-menudrawer,2603,11,0,Java,https://codeload.github.com/SimonVT/android-menudrawer/legacy.zip/59e8d18e109c77d911b8b63232d66d5f0551cf6a,https://github.com/SimonVT/android-menudrawer
AndroidPileLayout,2154,6,0,Java,https://codeload.github.com/xmuSistone/AndroidPileLayout/legacy.zip/76434cad0af3a12ca4ce18e54117c3091374425f,https://github.com/xmuSistone/AndroidPileLayout
AndroidPileLayout,2154,6,0,Java,https://codeload.github.com/xmuSistone/AndroidPileLayout/legacy.zip/76434cad0af3a12ca4ce18e54117c3091374425f,https://github.com/xmuSistone/AndroidPileLayout
android-viewbadger,3024,11,0,Java,https://codeload.github.com/jgilfelt/android-viewbadger/legacy.zip/e08c3a78cb92c0c8587790b15e73434f972912cf,https://github.com/jgilfelt/android-viewbadger
Surviving-with-android,1272,10,0,Java,https://codeload.github.com/survivingwithandroid/Surviving-with-android/legacy.zip/4f03b8308cd5850c415abf59d52190ec8c558ceb,https://github.com/survivingwithandroid/Surviving-with-android
AndrOBD,1120,8,58,Java,https://codeload.github.com/fr3ts0n/AndrOBD/legacy.zip/a6851b1af518887b422b46969dc93ee05635d2fd,https://github.com/fr3ts0n/AndrOBD
android-templates-and-utilities,1099,11,0,Java,https://codeload.github.com/petrnohejl/android-templates-and-utilities/legacy.zip/8cb70ed6f6daa1f3dd62bd55aa7ac139c22bf3ce,https://github.com/petrnohejl/android-templates-and-utilities
Side-Menu.Android,5218,8,2,Java,https://codeload.github.com/Yalantis/Side-Menu.Android/legacy.zip/b83ed828a0c792d3f6ef08d4529e075c646a4e7c,https://github.com/Yalantis/Side-Menu.Android
NineOldAndroids,4508,11,0,Java,https://codeload.github.com/JakeWharton/NineOldAndroids/legacy.zip/d582f0ec8e79013e9fa96c07986160b52e662e63,https://github.com/JakeWharton/NineOldAndroids
Android-Boilerplate,1873,8,0,Java,https://codeload.github.com/hitherejoe/Android-Boilerplate/legacy.zip/75382ad46c07c2bbc6094a93a581b6c4489986f3,https://github.com/hitherejoe/Android-Boilerplate
